epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,2812.04,1.25774,2.03918,1.07787,1.35096,0.94975,0.74655,0.84852,0.56346,0.94975,0.74655,0.82447,0.48586,1.25266,2.23521,0.99706,1.27467,0.000593846,0.000593846,0.000593846
31,2899.9,1.17977,1.85814,0.98893,1.30584,0.84449,0.79204,0.8364,0.59381,0.84218,0.78424,0.82742,0.52179,1.22367,2.11812,0.99141,1.24252,0.000585599,0.000585599,0.000585599
32,2987.59,1.15607,1.7657,0.98002,1.28352,0.84449,0.79204,0.8364,0.59381,0.84218,0.78424,0.82742,0.52179,1.22367,2.11812,0.99141,1.24252,0.000577352,0.000577352,0.000577352
33,3075.3,1.24857,2.0081,1.06314,1.33255,0.8366,0.84195,0.90806,0.64845,0.8366,0.84195,0.90253,0.53251,1.22937,2.00849,0.90016,1.24555,0.000569106,0.000569106,0.000569106
34,3167.17,1.12374,1.69778,0.88941,1.26255,0.8625,0.86851,0.90775,0.65464,0.8625,0.86851,0.90628,0.51494,1.15558,1.95705,0.91291,1.2283,0.000560859,0.000560859,0.000560859
35,3258.27,1.13511,1.74253,0.92513,1.22339,0.8625,0.86851,0.90775,0.65464,0.8625,0.86851,0.90628,0.51494,1.15558,1.95705,0.91291,1.2283,0.000552612,0.000552612,0.000552612
36,3345.87,1.19053,1.93676,0.98212,1.32098,0.90764,0.80342,0.90334,0.6276,0.90945,0.80292,0.87919,0.50522,1.18852,2.0546,0.94478,1.24594,0.000544365,0.000544365,0.000544365
37,3433.26,1.03779,1.59414,0.82514,1.15792,0.92093,0.81022,0.88295,0.6265,0.92093,0.81022,0.87699,0.50644,1.14409,2.11056,0.95243,1.23212,0.000536119,0.000536119,0.000536119
38,3521.55,1.11487,1.83245,0.89506,1.22607,0.92093,0.81022,0.88295,0.6265,0.92093,0.81022,0.87699,0.50644,1.14409,2.11056,0.95243,1.23212,0.000527872,0.000527872,0.000527872
39,3610.02,1.06545,1.67335,0.84323,1.20176,0.88721,0.82849,0.88751,0.63902,0.9169,0.82383,0.88443,0.53052,1.14173,2.14079,0.92915,1.21828,0.000519625,0.000519625,0.000519625
40,3697.93,1.08962,1.59169,0.83208,1.21963,0.87418,0.8474,0.8919,0.65111,0.87007,0.82815,0.87222,0.54671,1.17367,2.10211,0.90736,1.25314,0.000511379,0.000511379,0.000511379
41,3785.5,1.14923,1.78548,0.85686,1.25103,0.94982,0.7974,0.8907,0.65731,0.91737,0.764,0.85775,0.54967,1.12236,1.99628,0.88678,1.20513,0.000503132,0.000503132,0.000503132
42,3873.9,1.12326,1.77163,0.88379,1.2479,0.94982,0.7974,0.8907,0.65731,0.91737,0.764,0.85775,0.54967,1.12236,1.99628,0.88678,1.20513,0.000494885,0.000494885,0.000494885
43,3961.94,1.01927,1.58999,0.80462,1.18526,0.94147,0.7919,0.86339,0.6458,0.9095,0.75886,0.83368,0.55189,1.12063,1.9898,0.94413,1.22033,0.000486639,0.000486639,0.000486639
